fecha,turno,dia_semana,horario,cantidad
13/11/2019,siesta,miercoles,De 14:30 hs. a 14:45 hs.,326
14/11/2019,siesta,jueves,De 14:30 hs. a 14:45 hs.,318
15/11/2019,siesta,viernes,De 14:30 hs. a 14:45 hs.,301
16/11/2019,siesta,sabado,De 14:30 hs. a 14:45 hs.,275
17/11/2019,siesta,domingo,De 14:30 hs. a 14:45 hs.,242
18/11/2019,siesta,lunes,De 14:30 hs. a 14:45 hs.,220
19/11/2019,siesta,martes,De 14:30 hs. a 14:45 hs.,241
20/11/2019,siesta,miercoles,De 14:30 hs. a 14:45 hs.,302
21/11/2019,siesta,jueves,De 14:30 hs. a 14:45 hs.,211
22/11/2019,siesta,viernes,De 14:30 hs. a 14:45 hs.,256
23/11/2019,siesta,sabado,De 14:30 hs. a 14:45 hs.,215
24/11/2019,siesta,domingo,De 14:30 hs. a 14:45 hs.,158
25/11/2019,siesta,lunes,De 14:30 hs. a 14:45 hs.,329
26/11/2019,siesta,martes,De 14:30 hs. a 14:45 hs.,310
27/11/2019,siesta,miercoles,De 14:30 hs. a 14:45 hs.,304
28/11/2019,siesta,jueves,De 14:30 hs. a 14:45 hs.,319
29/11/2019,siesta,viernes,De 14:30 hs. a 14:45 hs.,325
30/11/2019,siesta,sabado,De 14:30 hs. a 14:45 hs.,281
01/11/2019,siesta,viernes,De 14:45 hs. a 15:00 hs.,301
02/11/2019,siesta,sabado,De 14:45 hs. a 15:00 hs.,207
03/11/2019,siesta,domingo,De 14:45 hs. a 15:00 hs.,158
04/11/2019,siesta,lunes,De 14:45 hs. a 15:00 hs.,240
05/11/2019,siesta,martes,De 14:45 hs. a 15:00 hs.,254
06/11/2019,siesta,miercoles,De 14:45 hs. a 15:00 hs.,241
07/11/2019,siesta,jueves,De 14:45 hs. a 15:00 hs.,250
08/11/2019,siesta,viernes,De 14:45 hs. a 15:00 hs.,197
09/11/2019,siesta,sabado,De 14:45 hs. a 15:00 hs.,212
10/11/2019,siesta,domingo,De 14:45 hs. a 15:00 hs.,276
11/11/2019,siesta,lunes,De 14:45 hs. a 15:00 hs.,230
12/11/2019,siesta,martes,De 14:45 hs. a 15:00 hs.,341
13/11/2019,siesta,miercoles,De 14:45 hs. a 15:00 hs.,296
